,state,p_act_2017,avg_act_2017,tot_act_2017,p_act_2018,avg_act_2018,p_sat_2017,tot_sat_2017,avg_sat_2017,p_sat_2018,tot_sat_2018,avg_sat_2018
0,Alabama,100.0,61.85,76.4,100.0,19.1,5.0,1165,291.25,6.0,1166,291.5
1,Alaska,65.0,63.875,78.8,33.0,20.8,38.0,1080,270.0,43.0,1106,276.5
2,Arizona,62.0,63.45000000000001,78.30000000000001,66.0,19.2,30.0,1116,279.0,28.999999999999996,1149,287.25
3,Arkansas,100.0,62.474999999999994,77.1,100.0,19.4,3.0,1208,302.0,5.0,1169,292.25
4,California,31.0,73.85000000000001,90.50000000000001,27.0,22.7,53.0,1055,263.75,60.0,1076,269.0
5,Colorado,100.0,66.825,82.5,30.0,23.9,11.0,1201,300.25,100.0,1025,256.25
6,Connecticut,31.0,81.85000000000001,100.30000000000001,26.0,25.6,100.0,1041,260.25,100.0,1053,263.25
7,Delaware,18.0,78.2,95.9,17.0,23.8,100.0,996,249.0,100.0,998,249.5
8,District of Columbia,0.0,0.0,0.0,0.0,0.0,100.0,950,237.5,92.0,977,244.25
9,Florida,73.0,64.25,78.8,66.0,19.9,83.0,1017,254.25,56.00000000000001,1099,274.75
10,Georgia,55.00000000000001,69.225,85.2,53.0,21.4,61.0,1050,262.5,70.0,1064,266.0
11,Hawaii,90.0,61.025000000000006,75.5,89.0,18.9,55.00000000000001,1085,271.25,56.00000000000001,1010,252.5
12,Idaho,38.0,72.22500000000001,88.80000000000001,36.0,22.3,93.0,1005,251.25,100.0,1001,250.25
13,Illinois,93.0,69.125,85.10000000000001,43.0,23.9,9.0,1115,278.75,99.0,1019,254.75
14,Indiana,35.0,73.175,89.89999999999999,32.0,22.5,63.0,1074,268.5,63.0,1074,268.5
15,Iowa,67.0,70.625,87.19999999999999,68.0,21.8,2.0,1275,318.75,3.0,1265,316.25
16,Kansas,73.0,70.125,86.4,71.0,21.6,4.0,1260,315.0,4.0,1265,316.25
17,Kentucky,100.0,64.525,79.6,100.0,20.2,4.0,1247,311.75,4.0,1248,312.0
18,Louisiana,100.0,62.9,77.6,100.0,19.2,4.0,1198,299.5,4.0,1210,302.5
19,Maine,8.0,78.925,96.7,7.000000000000001,24.0,95.0,1012,253.0,99.0,1013,253.25
20,Maryland,28.000000000000004,71.17500000000001,72.9,31.0,22.5,69.0,1060,265.0,76.0,1080,270.0
21,Massachusetts,28.999999999999996,82.77499999999999,101.3,25.0,25.5,76.0,1107,276.75,80.0,1125,281.25
22,Michigan,28.999999999999996,78.25,96.1,22.0,24.2,100.0,1005,251.25,100.0,1011,252.75
23,Minnesota,100.0,69.10000000000001,85.30000000000001,99.0,21.3,3.0,1295,323.75,4.0,1298,324.5
24,Mississippi,100.0,59.8,73.89999999999999,100.0,18.6,2.0,1242,310.5,3.0,1236,309.0
25,Missouri,100.0,65.625,81.0,100.0,20.0,3.0,1271,317.75,4.0,1262,315.5
26,Montana,100.0,65.325,80.7,100.0,20.0,10.0,1196,299.0,10.0,1198,299.5
27,Nebraska,84.0,69.07499999999999,85.19999999999999,100.0,20.1,3.0,1253,313.25,3.0,1252,313.0
28,Nevada,100.0,56.949999999999996,70.6,100.0,17.7,26.0,1116,279.0,23.0,1140,285.0
29,New Hampshire,18.0,82.725,101.4,16.0,25.1,96.0,1052,263.0,96.0,1063,265.75
30,New Jersey,34.0,77.5,94.9,31.0,23.7,70.0,1056,264.0,82.0,1094,273.5
31,New Mexico,66.0,63.4,78.4,67.0,19.4,11.0,1138,284.5,16.0,1093,273.25
32,New York,31.0,78.375,96.30000000000001,27.0,24.5,67.0,1052,263.0,79.0,1068,267.0
33,North Carolina,100.0,61.525000000000006,76.0,100.0,19.1,49.0,1081,270.25,52.0,1098,274.5
34,North Dakota,98.0,65.05,80.5,98.0,20.3,2.0,1256,314.0,2.0,1283,320.75
35,Oklahoma,100.0,62.3,77.0,100.0,19.3,7.000000000000001,1047,261.75,8.0,1062,265.5
36,Ohio,75.0,70.8,87.3,100.0,20.3,12.0,1149,287.25,18.0,1099,274.75
37,Oregon,40.0,70.52499999999999,86.8,42.0,21.3,43.0,1108,277.0,48.0,1117,279.25
38,Pennsylvania,23.0,76.825,94.3,20.0,23.5,65.0,1071,267.75,70.0,1086,271.5
39,Rhode Island,21.0,77.85,95.4,15.0,24.2,71.0,1062,265.5,97.0,1018,254.5
40,South Carolina,100.0,59.925000000000004,74.1,100.0,18.3,50.0,1064,266.0,55.00000000000001,1070,267.5
41,South Dakota,80.0,70.0,86.5,77.0,21.9,3.0,1216,304.0,3.0,1240,310.0
42,Tennessee,100.0,63.775000000000006,78.7,100.0,19.6,5.0,1228,307.0,6.0,1231,307.75
43,Texas,45.0,66.525,82.2,45.0,20.7,62.0,1020,255.0,66.0,1032,258.0
44,Utah,100.0,65.35000000000001,80.80000000000001,100.0,20.4,3.0,1238,309.5,4.0,1010,252.5
45,Vermont,28.999999999999996,76.60000000000001,94.00000000000001,24.0,24.1,60.0,1114,278.5,64.0,1120,280.0
46,Virginia,28.999999999999996,77.275,94.9,24.0,23.9,65.0,1102,275.5,68.0,1117,279.25
47,Washington,28.999999999999996,70.4,86.9,24.0,22.2,64.0,1075,268.75,69.0,1081,270.25
48,West Virginia,69.0,65.725,81.1,65.0,20.3,14.000000000000002,1086,271.5,28.000000000000004,999,249.75
49,Wisconsin,100.0,65.925,81.6,100.0,20.5,3.0,1291,322.75,3.0,1294,323.5
50,Wyoming,100.0,65.15,80.6,100.0,20.0,3.0,1230,307.5,3.0,1257,314.25
